,age,workclass,education,marital.status,occupation,race,sex,native.country,income,partition
17101,26-30,Private,5th-6th,Married-civ-spouse,Craft-repair,White,Male,"United-States,Mexico",<=50K,1705
20172,32-36,Private,5th-6th,Married-civ-spouse,Craft-repair,White,Male,Mexico,<=50K,1706
28959,32-36,Private,5th-6th,Married-civ-spouse,Craft-repair,White,Male,Mexico,<=50K,1706
16923,25-35,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,"Asian-Pac-Islander,Other","Male,Female","?,Mexico,Laos",<=50K,1707
27104,25-35,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,"Asian-Pac-Islander,Other","Male,Female","?,Mexico,Laos",<=50K,1707
28598,25-35,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,"Asian-Pac-Islander,Other","Male,Female","?,Mexico,Laos",>50K,1707
28163,26-27,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,"Other,White",Male,Mexico,<=50K,1708
28358,26-27,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,"Other,White",Male,Mexico,<=50K,1708
6340,31-35,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico,<=50K,1709
15654,31-35,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,Mexico,<=50K,1709
9981,26-27,Private,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico,<=50K,1710
27664,26-27,Private,5th-6th,Married-civ-spouse,Farming-fishing,White,Male,Mexico,<=50K,1710
9448,29-34,Private,5th-6th,Married-civ-spouse,Farming-fishing,"Asian-Pac-Islander,White",Male,"Philippines,Mexico",<=50K,1711
25079,29-34,Private,5th-6th,Married-civ-spouse,Farming-fishing,"Asian-Pac-Islander,White",Male,"Philippines,Mexico",<=50K,1711
31184,29-34,Private,5th-6th,Married-civ-spouse,Farming-fishing,"Asian-Pac-Islander,White",Male,"Philippines,Mexico",<=50K,1711
17610,22-32,Private,5th-6th,Married-civ-spouse,Other-service,White,Male,"United-States,El-Salvador",<=50K,1712
31632,22-32,Private,5th-6th,Married-civ-spouse,Other-service,White,Male,"United-States,El-Salvador",<=50K,1712
4004,22-27,Private,5th-6th,Never-married,Priv-house-serv,White,Female,El-Salvador,<=50K,1713
12803,22-27,Private,5th-6th,Never-married,Priv-house-serv,White,Female,El-Salvador,<=50K,1713
11948,21-27,Private,5th-6th,Never-married,Priv-house-serv,White,Female,"Mexico,England",<=50K,1714
16372,21-27,Private,5th-6th,Never-married,Priv-house-serv,White,Female,"Mexico,England",<=50K,1714
16854,21-27,Private,5th-6th,Never-married,Priv-house-serv,White,Female,"Mexico,England",<=50K,1714
22787,24-26,Private,5th-6th,Never-married,Farming-fishing,Black,Male,Mexico,<=50K,1715
26158,24-26,Private,5th-6th,Never-married,Farming-fishing,Black,Male,Mexico,<=50K,1715
6487,26-27,Private,5th-6th,Never-married,Transport-moving,White,Male,Mexico,<=50K,1716
29356,26-27,Private,5th-6th,Never-married,Transport-moving,White,Male,Mexico,<=50K,1716
14317,26,Private,5th-6th,Never-married,Transport-moving,White,Male,"Columbia,?",<=50K,1717
16814,26,Private,5th-6th,Never-married,Transport-moving,White,Male,"Columbia,?",<=50K,1717
6507,24-28,Private,5th-6th,Never-married,Machine-op-inspct,White,Female,"?,Mexico",<=50K,1718
18668,24-28,Private,5th-6th,Never-married,Machine-op-inspct,White,Female,"?,Mexico",<=50K,1718
15725,27-28,Private,5th-6th,Never-married,Craft-repair,White,Male,"Columbia,?",<=50K,1719
22979,27-28,Private,5th-6th,Never-married,Craft-repair,White,Male,"Columbia,?",<=50K,1719
15002,18-34,Private,5th-6th,Never-married,"Handlers-cleaners,Sales","White,Asian-Pac-Islander","Male,Female","El-Salvador,Vietnam,Honduras",<=50K,1720
15638,18-34,Private,5th-6th,Never-married,"Handlers-cleaners,Sales","White,Asian-Pac-Islander","Male,Female","El-Salvador,Vietnam,Honduras",<=50K,1720
19521,18-34,Private,5th-6th,Never-married,"Handlers-cleaners,Sales","White,Asian-Pac-Islander","Male,Female","El-Salvador,Vietnam,Honduras",<=50K,1720
1326,18-26,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,<=50K,1721
20955,18-26,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,<=50K,1721
94,31-32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,"United-States,?",>50K,1722
16583,31-32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,"United-States,?",<=50K,1722
1338,25-28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K,1723
7465,25-28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K,1723
21326,25-28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K,1723
27347,25-28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,>50K,1723
30012,25-28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K,1723
221,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,"Female,Male",United-States,<=50K,1724
3268,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,"Female,Male",United-States,<=50K,1724
10085,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,"Female,Male",United-States,<=50K,1724
13012,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,"Female,Male",United-States,<=50K,1724
21612,34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,"Female,Male",United-States,<=50K,1724
15358,28-29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K,1725
22420,28-29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,1725
469,30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K,1726
14985,30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K,1726
2422,28-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,>50K,1727
19882,28-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,<=50K,1727
20284,28-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,"Mexico,Ireland,Italy",<=50K,1728
22007,28-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,"Mexico,Ireland,Italy",<=50K,1728
22665,28-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,"Mexico,Ireland,Italy",<=50K,1728
9204,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
11850,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
12274,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
16175,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
18636,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
22417,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
25914,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
27474,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
28678,33-36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1729
22519,33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K,1730
23123,33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K,1730
30056,33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K,1730
175,27-28,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,<=50K,1731
2291,27-28,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,>50K,1731
8876,27-28,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,<=50K,1731
13831,27-28,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,<=50K,1731
22085,27-28,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,<=50K,1731
4404,18-24,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,"United-States,?",<=50K,1732
16058,18-24,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,"United-States,?",<=50K,1732
5654,26-30,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,United-States,<=50K,1733
10035,26-30,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,United-States,<=50K,1733
31004,26-30,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,United-States,<=50K,1733
11192,27-35,Self-emp-not-inc,HS-grad,Never-married,Sales,Black,"Female,Male","Germany,United-States,?",<=50K,1734
29774,27-35,Self-emp-not-inc,HS-grad,Never-married,Sales,Black,"Female,Male","Germany,United-States,?",<=50K,1734
30111,27-35,Self-emp-not-inc,HS-grad,Never-married,Sales,Black,"Female,Male","Germany,United-States,?",<=50K,1734
21069,25-26,Self-emp-not-inc,HS-grad,Never-married,Sales,Asian-Pac-Islander,"Female,Male",United-States,<=50K,1735
25007,25-26,Self-emp-not-inc,HS-grad,Never-married,Sales,Asian-Pac-Islander,"Female,Male",United-States,>50K,1735
5854,19-24,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Male,"Greece,United-States",<=50K,1736
17153,19-24,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Male,"Greece,United-States",<=50K,1736
26398,19-24,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Male,"Greece,United-States",<=50K,1736
14699,25-31,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1737
16410,25-31,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1737
28214,25-31,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1737
7415,32-35,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1738
18102,32-35,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1738
28624,32-35,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,United-States,<=50K,1738
14827,32-33,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,White,Male,United-States,>50K,1739
26407,32-33,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,White,Male,United-States,<=50K,1739
29686,32-33,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,White,Male,United-States,<=50K,1739
13232,35,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,"White,Amer-Indian-Eskimo",Male,United-States,<=50K,1740
22853,35,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,"White,Amer-Indian-Eskimo",Male,United-States,<=50K,1740
26070,35,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,"White,Amer-Indian-Eskimo",Male,United-States,<=50K,1740
1672,19-27,Self-emp-not-inc,Some-college,Never-married,Sales,"Black,White","Male,Female",United-States,>50K,1741
13266,19-27,Self-emp-not-inc,Some-college,Never-married,Sales,"Black,White","Male,Female",United-States,<=50K,1741
28910,19-27,Self-emp-not-inc,Some-college,Never-married,Sales,"Black,White","Male,Female",United-States,<=50K,1741
166,30-33,Self-emp-not-inc,Some-college,Never-married,Sales,"Asian-Pac-Islander,White",Male,"South,United-States",<=50K,1742
15179,30-33,Self-emp-not-inc,Some-college,Never-married,Sales,"Asian-Pac-Islander,White",Male,"South,United-States",<=50K,1742
25960,30-33,Self-emp-not-inc,Some-college,Never-married,Sales,"Asian-Pac-Islander,White",Male,"South,United-States",<=50K,1742
10361,20-24,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Asian-Pac-Islander,"Female,Male","South,United-States",<=50K,1743
24585,20-24,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Asian-Pac-Islander,"Female,Male","South,United-States",>50K,1743
31127,20-24,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Asian-Pac-Islander,"Female,Male","South,United-States",<=50K,1743
14075,18-27,Self-emp-not-inc,Some-college,Never-married,"Exec-managerial,Tech-support",White,"Female,Male",United-States,<=50K,1744
18571,18-27,Self-emp-not-inc,Some-college,Never-married,"Exec-managerial,Tech-support",White,"Female,Male",United-States,>50K,1744
30491,18-27,Self-emp-not-inc,Some-college,Never-married,"Exec-managerial,Tech-support",White,"Female,Male",United-States,<=50K,1744
16044,24-29,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,"Asian-Pac-Islander,Black",Male,"South,United-States",<=50K,1745
18122,24-29,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,"Asian-Pac-Islander,Black",Male,"South,United-States",<=50K,1745
9938,28-32,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,"Asian-Pac-Islander,Amer-Indian-Eskimo",Male,"South,United-States",<=50K,1746
13795,28-32,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,"Asian-Pac-Islander,Amer-Indian-Eskimo",Male,"South,United-States",>50K,1746
20581,28-32,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,"Asian-Pac-Islander,Amer-Indian-Eskimo",Male,"South,United-States",<=50K,1746
1401,29-35,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,United-States,>50K,1747
9948,29-35,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,United-States,<=50K,1747
3333,27-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K,1748
14826,27-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1748
15879,27-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K,1748
31401,27-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1748
31677,27-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1748
3458,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1749
5525,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K,1749
8283,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1749
10948,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1749
23614,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1749
29297,34-36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K,1749
22191,27-35,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1750
22870,27-35,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1750
28843,27-35,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1750
19314,28-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,White,"Male,Female",United-States,<=50K,1751
21084,28-33,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,White,"Male,Female",United-States,>50K,1751
21499,24-27,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,"White,Other",Male,"United-States,Ecuador",<=50K,1752
31510,24-27,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,"White,Other",Male,"United-States,Ecuador",>50K,1752
2218,25-28,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,White,Male,United-States,>50K,1753
30344,25-28,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,White,Male,United-States,<=50K,1753
5003,29-35,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,White,Male,United-States,<=50K,1754
11810,29-35,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,White,Male,United-States,<=50K,1754
4025,31-36,Self-emp-not-inc,Bachelors,Never-married,Sales,Black,"Female,Male",United-States,<=50K,1755
7396,31-36,Self-emp-not-inc,Bachelors,Never-married,Sales,Black,"Female,Male",United-States,>50K,1755
4742,28-31,Self-emp-not-inc,Bachelors,Never-married,Tech-support,White,"Male,Female",United-States,<=50K,1756
10489,28-31,Self-emp-not-inc,Bachelors,Never-married,Tech-support,White,"Male,Female",United-States,<=50K,1756
28757,28-31,Self-emp-not-inc,Bachelors,Never-married,Tech-support,White,"Male,Female",United-States,<=50K,1756
775,33-34,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,United-States,>50K,1757
13259,33-34,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,United-States,>50K,1757
637,25-31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K,1758
23269,25-31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,<=50K,1758
27285,25-31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K,1758
8347,28-32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1759
15097,28-32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1759
6140,34-36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,"Asian-Pac-Islander,Other",Male,"South,?,India",<=50K,1760
12702,34-36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,"Asian-Pac-Islander,Other",Male,"South,?,India",<=50K,1760
24298,34-36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,"Asian-Pac-Islander,Other",Male,"South,?,India",<=50K,1760
930,26-35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Male,United-States,<=50K,1761
13770,26-35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Male,United-States,>50K,1761
15849,26-35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Male,United-States,<=50K,1761
26630,32-35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,"White,Black",Female,United-States,<=50K,1762
29267,32-35,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,"White,Black",Female,United-States,<=50K,1762
4498,36,Self-emp-not-inc,Bachelors,Divorced,"Prof-specialty,Other-service",Black,"Female,Male",United-States,>50K,1763
11756,36,Self-emp-not-inc,Bachelors,Divorced,"Prof-specialty,Other-service",Black,"Female,Male",United-States,>50K,1763
14821,32-34,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,White,"Female,Male",United-States,<=50K,1764
22726,32-34,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,White,"Female,Male",United-States,>50K,1764
11165,18-30,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Male,United-States,<=50K,1765
17911,18-30,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Male,United-States,>50K,1765
26207,18-30,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Male,United-States,<=50K,1765
13302,23-28,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Male,Mexico,<=50K,1766
27978,23-28,Self-emp-not-inc,11th,Never-married,Craft-repair,White,Male,Mexico,<=50K,1766
1042,34,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1767
26338,34,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1767
16164,35-36,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1768
26986,35-36,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1768
27886,35-36,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K,1768
17226,29-32,Local-gov,Some-college,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K,1769
18111,29-32,Local-gov,Some-college,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K,1769
1313,34-36,Local-gov,Some-college,Married-civ-spouse,Transport-moving,White,"Male,Female",United-States,<=50K,1770
4562,34-36,Local-gov,Some-college,Married-civ-spouse,Transport-moving,White,"Male,Female",United-States,<=50K,1770
20521,25-32,Local-gov,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1771
25840,25-32,Local-gov,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1771
26412,25-32,Local-gov,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,<=50K,1771
8253,34-35,Local-gov,Some-college,Married-civ-spouse,Other-service,White,"Male,Female",United-States,<=50K,1772
19378,34-35,Local-gov,Some-college,Married-civ-spouse,Other-service,White,"Male,Female",United-States,<=50K,1772
23994,34-35,Local-gov,Some-college,Married-civ-spouse,Other-service,White,"Male,Female",United-States,<=50K,1772
317,21-29,Local-gov,Some-college,Never-married,Other-service,White,Female,United-States,<=50K,1773
24746,21-29,Local-gov,Some-college,Never-married,Other-service,White,Female,United-States,<=50K,1773
23558,20-34,Local-gov,Some-college,Never-married,Other-service,White,Male,United-States,<=50K,1774
23925,20-34,Local-gov,Some-college,Never-married,Other-service,White,Male,United-States,<=50K,1774
19990,22-29,Local-gov,Some-college,Never-married,Adm-clerical,"Asian-Pac-Islander,Other","Female,Male","Vietnam,Ecuador",<=50K,1775
29629,22-29,Local-gov,Some-college,Never-married,Adm-clerical,"Asian-Pac-Islander,Other","Female,Male","Vietnam,Ecuador",<=50K,1775
5850,27-29,Local-gov,Some-college,Never-married,Exec-managerial,White,"Male,Female","United-States,Iran",<=50K,1776
9606,27-29,Local-gov,Some-college,Never-married,Exec-managerial,White,"Male,Female","United-States,Iran",<=50K,1776
20589,27-29,Local-gov,Some-college,Never-married,Exec-managerial,White,"Male,Female","United-States,Iran",<=50K,1776
7333,31-36,Local-gov,Some-college,Never-married,Exec-managerial,"Amer-Indian-Eskimo,Black",Female,United-States,<=50K,1777
19802,31-36,Local-gov,Some-college,Never-married,Exec-managerial,"Amer-Indian-Eskimo,Black",Female,United-States,<=50K,1777
1353,26-33,Local-gov,Bachelors,Never-married,Tech-support,"Black,White",Male,United-States,>50K,1778
11332,26-33,Local-gov,Bachelors,Never-married,Tech-support,"Black,White",Male,United-States,<=50K,1778
20642,26-33,Local-gov,Bachelors,Never-married,Tech-support,"Black,White",Male,United-States,<=50K,1778
21227,25-29,Local-gov,Bachelors,Never-married,Tech-support,"Asian-Pac-Islander,White",Female,"Vietnam,United-States",<=50K,1779
31931,25-29,Local-gov,Bachelors,Never-married,Tech-support,"Asian-Pac-Islander,White",Female,"Vietnam,United-States",<=50K,1779
11878,23-25,Local-gov,Bachelors,Never-married,Exec-managerial,White,Female,United-States,<=50K,1780
16918,23-25,Local-gov,Bachelors,Never-married,Exec-managerial,White,Female,United-States,<=50K,1780
7213,31-33,Local-gov,Bachelors,Never-married,Exec-managerial,White,Female,United-States,<=50K,1781
31441,31-33,Local-gov,Bachelors,Never-married,Exec-managerial,White,Female,United-States,<=50K,1781
14938,24-26,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,United-States,>50K,1782
15850,24-26,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,United-States,<=50K,1782
22036,32-36,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,"United-States,Germany",<=50K,1783
22122,32-36,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,"United-States,Germany",>50K,1783
10720,24-27,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K,1784
19451,24-27,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K,1784
30927,24-27,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K,1784
3392,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",<=50K,1785
4315,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",>50K,1785
10909,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",>50K,1785
15139,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",>50K,1785
18857,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",>50K,1785
21231,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",<=50K,1785
24897,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",<=50K,1785
26573,30-34,Local-gov,Bachelors,Married-civ-spouse,"Machine-op-inspct,Protective-serv",White,Male,"?,United-States",>50K,1785
24851,27-28,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,<=50K,1786
25445,27-28,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,<=50K,1786
7367,30-31,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,<=50K,1787
15991,30-31,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,<=50K,1787
29703,30-31,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,<=50K,1787
6721,32-34,Local-gov,Bachelors,Divorced,"Prof-specialty,Protective-serv",White,Female,"United-States,Germany",<=50K,1788
13490,32-34,Local-gov,Bachelors,Divorced,"Prof-specialty,Protective-serv",White,Female,"United-States,Germany",<=50K,1788
28067,32-34,Local-gov,Bachelors,Divorced,"Prof-specialty,Protective-serv",White,Female,"United-States,Germany",<=50K,1788
20534,36,Local-gov,Bachelors,Divorced,Prof-specialty,"White,Black",Female,United-States,<=50K,1789
22585,36,Local-gov,Bachelors,Divorced,Prof-specialty,"White,Black",Female,United-States,<=50K,1789
28452,36,Local-gov,Bachelors,Divorced,Prof-specialty,"White,Black",Female,United-States,<=50K,1789
9917,26-28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,"White,Asian-Pac-Islander",Male,"United-States,Hong",>50K,1790
13104,26-28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,"White,Asian-Pac-Islander",Male,"United-States,Hong",>50K,1790
3115,30-35,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K,1791
19746,30-35,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,United-States,<=50K,1791
26610,30-35,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K,1791
20048,22-25,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Black,Female,"Haiti,United-States",<=50K,1792
31472,22-25,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Black,Female,"Haiti,United-States",<=50K,1792
6235,27-31,Local-gov,Assoc-acdm,Never-married,Adm-clerical,"Amer-Indian-Eskimo,Black",Female,United-States,<=50K,1793
14436,27-31,Local-gov,Assoc-acdm,Never-married,Adm-clerical,"Amer-Indian-Eskimo,Black",Female,United-States,<=50K,1793
